TRACK_ID,LYRIC
track_1110016,
track_1110014,
track_1110015,
track_1110018,
track_1110017,
track_1110019,
track_1110020,
track_1110021,
track_1110022,
track_1110023,
track_1110024,
track_1110025,
track_1110026,
track_1110027,
track_1110028,
track_1110029,
track_1110030,
track_1110031,
track_1110032,
track_1110033,
track_1110034,
track_1110035,
track_1110036,
track_1110037,
track_1110059,
track_1110060,
track_1110061,
track_1110062,
track_1110063,
track_1110064,
track_1110065,
track_1110066,
track_1110067,
track_1110070,
track_1110069,
track_1110068,
track_1110072,
track_1110073,
track_1110071,
track_1110074,
track_1110076,
track_1110075,
track_1110078,
track_1110079,
track_1110077,
track_1110080,
track_1110081,
track_1110083,
track_1110084,
track_1110085,
track_1110086,
track_1110089,
track_1110087,
track_1110088,
track_1110499,
track_1110299,
track_1110302,
track_1110500,
track_1110501,
track_1110502,
track_1110503,
track_1110505,
track_1110504,
track_1110507,
track_1110506,
track_1110508,
track_1110511,
track_1110509,
track_1110510,
track_1110512,
track_1110513,
track_1110514,
track_1110516,
track_1110515,
track_1110517,
track_1110518,
track_1110519,
track_1110520,
track_1110521,
track_1110522,
track_1110523,
track_1110524,
track_1110525,
track_1110526,
track_1110527,
track_1110528,
track_1110747,
track_1110748,
track_1110749,
track_1110750,
track_1110752,
track_1110751,
track_1110753,
track_1110755,
track_1110754,
track_1110756,
track_1110757,
track_1110758,
track_1110759,
track_1110760,
track_1110761,
track_1110762,
track_1110763,
track_1110764,
track_1110765,
track_1110766,
track_1110767,
track_1110768,
track_1110769,
track_1110770,
track_1110771,
track_1110772,
track_1110773,
track_1110774,
track_1110775,
track_1110776,
track_1110777,
track_1110778,
track_1110779,
track_1110780,
track_1110781,
track_1110782,
track_1110783,
track_1110784,
track_1110785,
track_1110786,
track_1110787,
track_1110788,
track_1111131,
track_1111209,
track_1111966,
track_1111967,
track_1111968,
track_1111969,
track_1111970,
track_1111971,
track_1111972,
track_1111973,
track_1111974,
track_1111975,
track_1111976,
track_1111977,
track_1111978,
track_1111979,
track_1111980,
track_1111981,
track_1111982,
track_1111983,
track_1111984,
track_1111985,
track_1111986,
track_1111987,
track_1111988,
track_1111989,
track_1111990,
track_1111991,
track_1111992,
track_1111993,
track_1111994,
track_1111995,
track_1111996,
track_1111997,
track_1111998,
track_1111999,
track_1112000,
track_1112001,
track_1112002,
track_1112003,
track_1112004,
track_1112005,
track_1112173,
track_1112331,
track_1112332,
track_1112333,
track_1112334,
track_1112335,
track_1112336,
track_1112337,
track_1112338,
track_1112339,
track_1112340,
track_1112341,
track_1113613,
track_1113643,
track_1113644,
track_1113645,
track_1113647,
track_1113648,
track_1113649,
track_1113729,
track_1113985,
track_1113986,
track_1113987,
track_1113988,
track_1113989,
track_1113990,
track_1113991,
track_1113992,
track_1113993,
track_1113994,
track_1114360,
track_1114386,
track_1114938,
track_1115471,
track_1115513,
track_1115594,
track_1115595,
track_1115596,
track_1115638,
track_1115639,
track_1115640,
track_1115641,
track_1115642,
track_1115643,
track_1115644,
track_1115645,
track_1115646,
track_1115647,
track_1115674,
track_1115675,
track_1115676,
track_1115677,
track_1115679,
track_1115680,
track_1115681,
track_1115682,
track_1115683,
track_1115684,
track_1115915,
track_1116158,
track_1116399,
track_1116400,
track_1116401,
track_1116402,
track_1116403,
track_1116404,
track_1116405,
track_1116406,
track_1116407,
track_1116408,
track_1116409,
track_1116412,
track_1116707,
track_1116708,
track_1116711,
track_1116712,scat
track_1117087,
track_1117463,
track_1117703,
track_1117701,
track_1117892,
track_1118083,
track_1118090,
track_1118082,
track_1118521,
track_1118532,
track_1118534,
track_1118540,
track_1118541,
track_1118542,
track_1118543,
track_1118544,
track_1118576,
track_1118833,
track_1118838,
track_1118842,
track_1119016,
track_1119018,
track_1119019,
track_1119020,
track_1119023,
track_1119024,
track_1119591,
track_1119594,
track_1119596,
track_1119808,
track_1119809,
track_1119810,
track_1119811,
track_1119812,
track_1119814,
track_1119815,
track_1119816,
track_1119884,
track_1119923,
track_1119927,
track_1120043,
track_1121392,"music in the air
magic everywhere
I’m feeling good, feeling so damn good
and you can join me if you dare
there’s no need to fear
fly with me away to the moon

oh-oh-oh
I’m gonna set your soul on fire
oh-oh-oh
and give you all that you desire

AND YOU WILL BE MY DEEPEST SECRET
BITTERSWEET AND BEAUTIFUL FANTASY
I PROMISE I WILL ALWAYS AND EVER KEEP IT 
YOU’RE GONNA BE MY ONLY AMERICAN DREAM
OH-OH-OH
YOU HAVE TO JUST ANSWER WHEN DESTINY CALLS
I’M GONNA PRAISE THE LORD
FOR GIVING ME A SHINY STAR
IN THE HEAT OF THE NIGHT
NOW BABY TURN OFF THE LIGHT

something that you said
whispered in my ear
made me fall right under your spell 
your perfect body in my bed
is messing with my head
I’m stuck between heaven and hell

I’m feeling good, so damn good…
fly with me, to the moon…"
track_1121394,"I’ve seen the world from many sides
The sun made love to the sea
I’ve danced with angels in the sky
And with mermaids deep in the sea
I’ve crossed the mountains hundred times
Rainbow all over me
But those things ain’t nothing, next to your love
You’re the one that I need
 
You're always with me
Wherever we are
You can touch my heart and my soul
Your love is with me
Deep in my heart
You and me
 
I’ve touched the sun and walked on clouds
Like a bird a flew in the sky
Seen seven wonders of the world
And Marie Antoinette in Versailles"
track_1121395,"Totally I’ve lost my way

Don’t know if it is night or day

Chaos it seems

Floating on the waves of life

Can’t find a place to dock my yacht
SOS

Day by day I have to run away

From your love, girl you’re always on my way

I know I’m gonna be betrayed 

But still I fell in love


Why are you following me, you’re like a demon

Why are you trying to catch me, give me a reason

Will I ever get back my heart and freedom

Again you tearing me deeper 

When the night comes


In my dreams you’re haunting me, 

From angels eyes then look at me

Who really you are

Life seems like a quiz to me

Don’t know what answer right should be
SOS"
track_1121396,
track_1121397,"Before you’re gonna turn off the light
Before you’re gonna call off tonight
Look at my eyes and tell what you see there
Love what is so rare
Before you go, you should know


When you are gone, there’s no me
I feel so lonely, you are my only love
When you are gone, there’s no life
All feels so empty, please come back baby, to me


You know I just can’t let you go
You know I just can’t end our show
Show of our lives, a fairytale story
Where two hearts were falling
Now don’t try to say goodbye


If you walk away and leave me all alone, 
my heart will bleed and turn then into stone"
track_1121399,
track_1121400,
track_1121404,
track_1121405,
track_1121406,
track_1121409,
track_1121415,
track_1121417,
track_1121435,
track_1121436,
track_1121439,
track_1121440,
track_1121442,
track_1121443,
track_1121446,
track_1121448,
track_1121450,
track_1121451,
track_1121452,
track_1121453,
track_1121455,
track_1121456,
track_1121457,
track_1121458,
track_1121459,
track_1121460,
track_1121461,
track_1121503,
track_1121463,
track_1121464,
track_1121504,
track_1121532,
track_1121554,
track_1121565,
track_1121567,
track_1121761,
track_1121891,
track_1122005,
track_1122004,
track_1122006,
track_1122008,
track_1122007,
track_1122009,
track_1122010,
track_1122011,
track_1122012,
track_1122013,
track_1122014,
track_1122015,
track_1122016,
track_1122128,
track_1122161,
track_1122162,
track_1122449,
track_1122569,
track_1122913,
track_1122915,
track_1123037,
track_1123273,
track_1123668,
track_1123840,
track_1123888,
track_1123889,
track_1123943,
track_1124176,
track_1124188,
track_1124375,
track_1124378,
track_1124380,
track_1124384,
track_1125100,
track_1125104,
track_1125105,
track_1125352,
track_1125482,
track_1125484,
track_1125485,
track_1125486,
track_1125487,
track_1125488,
track_1125489,
track_1125842,
track_1125844,
track_1126335,
track_1127384,
track_1127387,
track_1127389,
track_1127391,
track_1127402,
track_1127403,
track_1127728,
track_1128035,
track_1128036,
track_1128037,
track_1128044,
track_1128045,
track_1128046,
track_1128047,
track_1128048,
track_1128049,
track_1128209,
track_1128211,
track_1128212,
track_1128214,
track_1128215,
track_1128220,
track_1128221,
track_1128493,
track_1128517,
track_1128821,
track_1128822,
track_1128847,
track_1128886,
track_1128887,
track_1128888,
track_1128889,
track_1128890,
track_1128891,
track_1129026,
track_1129031,
track_1129148,
track_1129316,
track_1129332,
track_1129409,
track_1129411,
track_1129413,
track_1129798,
track_1129799,
track_1129800,
