TRACK_ID,LYRIC
track_1356313,"The ones who led and lost their way.
The ones who followed went astray.
They didn’t find the light of day.
Twisted by the new religion.
Frightened by the final vision.
Compromised by distant laws that found the key and lost the door. 

Something points me in a new direction but nothing changes at all.
Nothing changes my chain of thought.
I’ve been talking to the trees. They tell me “You’ve been too lonely too long.”
Far too lonely for far too long. 
Far too lonely for far too long.
Far too lonely for too long.

Familiar faces turn to go.
I keep their names so that you’ll know the ones who loved you loved you so. 
An endless day that passed in minutes.
The scale of time that fell within it 
Swept its hands across your face 
And gouged the lines – the fall from grace.

Something points me in a new direction but nothing changes at all.
Nothing changes my chain of thought.
Voices whisper on the breeze and tell me “You’ve been too lonely too long.”
Far too lonely for far too long. 
Far too lonely for far too long.
Far too lonely for too long.

Something points me in a new direction but nothing changes at all.
Nothing changes my chain of thought.
I’ve been talking to the trees. They tell me “You’ve been too lonely too long.”
Far too lonely for far too long. 
Far too lonely for far too long.
Far too lonely for too long."
track_1356315,"Ghost writer, ghost writer, ghost writer. 

You're the silent haze. It's strange how your shadow strays 
Though you've gone to a better place. 
I pretend that I didn't see you, you know I do. 
Ghost writer, ghost writer, ghost writer. 

You're my secret fear - so beguiling and so sincere 
With your warm whisperings in my ears. 
I pretend that I didn't hear you, you know I do. 
Ghost writer, ghost writer, ghost writer. 

I don't know if I can go all the way to the other side with you. 
But in the end what is life anyway? Are we both shadows in the room? 

So erase my name with my worries and all my pain, 
But if morning should rise again I'll deny that I ever loved you, you know I will. 
Ghost writer, ghost writer, ghost writer. 

I don't know if I can go all the way to the other side with you. 
But in the end what is life and anyway we're all just shadows in the room. 

So erase my name with my memories and all my shame 
But if morning should rise again I'll deny that I ever loved you, you know I will. 
Ghost writer, ghost writer, ghost writer. 

Ghost writer, ghost writer, ghost writer."
track_1356312,"In these dim and distant eyes, in this troubled, twisted mind all directions point away,
No dimensions. Every day is an unending day.

Oh and I know you can help me to explain my pain away.
Oh and I know it’s not right to make you share my pain this way.
Oh and I know every debt must be repaid
So in every way I will love you more, more, more, more.
In every way I will love you more, more, more more. 
In every way I will love you more. 

In these rolling eyes of stone, in this reeling, restless mind all directions point away,
No dimensions. Every day is an unending day.

Oh and I know you can help me to explain my pain away.
Oh and I know it’s not right to make you share my pain this way.
Oh and I know every debt must be repaid
So in every way I will love you more, more, more, more.
In every way I will love you more, more, more more. 
In every way I will love you more."
track_1356325,"In isolation ethereal girl waits. Didn’t I tell you she was an only child? 
You’ll get inside her if you confide in me. 
And isn’t it high time you made up your mind? 
Isn’t it high time you made up your mind? 
Isn’t it high time you made up your mind? 

This isolation ethereal girl hates. Didn’t I tell you you were the only hope? 
You’ve got to find love before you will find yourself. 
And isn’t it high time you made up your mind? 
Isn’t it high time you made up your mind? 
Isn’t it high time you made up your mind? 

You’ve got to find love before you will find yourself. 
You’ve got to find love before you will find yourself. 
And isn’t it high time you made up your mind? 
Isn’t it high time you made up your mind? 
Isn’t it high time you made up your mind? 
Isn’t it high time you made up your mind?"
track_1356337,"Blind faith is on my side. It all comes right in time. 
I’ve learned to love those blues – martyrs to the truth. 
See - you see right through me. See - you look in to me. 
See – the world’s not crumbling, tumbling. 

Just lost all track of time. It slipped right out of my mind, 
Not by chance – by design. 
Maybe I will learn to try. Maybe I need you. 
My fingers fumbling. My words come stumbling. 
It all comes tumbling down. Tumbling, tumbling, tumbling 

These dreams won’t be denied. They’ll all come true some time. 
And you know those hands won’t sake. That aching heart won’t break. 
See the fingers fumbling. See the words come stumbling. 
See – the world’s not crumbling. 

Just lost all track of time. It slipped right out of my mind, 
Not by chance – by design. 
Maybe I will need to try. Maybe I need you. 

You know these dreams fall into place. Maybe I need you. 
My fingers fumbling. My words come stumbling. 
It all comes tumbling down. Tumbling, tumbling, tumbling."
track_1356344,"I’ve read the stories – love’s fairy tales - 
Ancient histories where wisdom prevails. 
Compassionate passion to touch and to smell 
But heaven forgive me, it makes my life seem hell. 

I’m going down now. Catch me on the way down. 
Be there when I come round. 
I’m going down now. Meet me when I get down. 
Don’t leave me to my own small thoughts. 

Not looking for bed love. Just wanted to say 
“It’s living without love that makes me feel this way.” 

I’m going down now. Catch me on the way down. 
Be there when I come round. 
I’m going down now. Meet me when I get down. 
Don’t leave me to my own small thoughts 

I’m king of derision so you don’t have to fake. 
‘cause I know the secret’s you just make the same mistakes. 

I’m going down now. Catch me on the way down. 
Be there when I come round. 
I’m going down now. Meet me when I get down. 
Don’t leave me to my own small thoughts."
track_1356347,"We made a vow we could never ever keep. 
Still somehow the thought of it runs deep. 
There is the glory of the coming of the glory of the Lord 
And there’s an answer where there was no call. 
But I’ve been so unkind, no heart, no mind. 
If I could give it all I would give it all 
I would give it all to you,to you, for you. 

This is it for you. This is it for you. This is it for you. This is all. 

But I will take your money - take it with a cursory smile. 
It’s only fashion sense. Don’t take offence - I don’t like the style. 
Tables turned. I call the shots. Will I be your friend? 
God knows where it started or where it will end. 


Don’t ask me now “Was honesty the crime?” 
Don’t ask me now, maybe some other time. 
What is there to say and what is there to prove 
And who is there to prove it to? 
Because there’s no sense in false pretence 
Would I ever lie to you or for you? 

This is it for you. This is it for you. This is it for you. This is all. 

But I will take your money - take it with a cursory smile. 
It’s only fashion sense. Don’t take offence - I don’t like the style. 
Tables turned. I call the shots. Will I be your friend? 
God knows where it started or where it will end. 

But I will take your money - take it with a cursory smile. 
It’s only fashion sense. Don’t take offence - I don’t like the style. 
Tables turned. I call the shots. Will I be your friend? 
God knows where it started or where it will end."
track_1356348,
track_1356349,"In motion, slow motion, here comes despair - there goes my hook line. 
It’s something for nothing. It’s in my cards and in my star sign. 

Where’s the glimmer of hope? Where’s the flicker of doubt? 
Where’s the reason to bring the change about? 
I’ve been looking for looks. I’ve been looking for charm. 
I’ve been looking for new. I’m not looking for love. 

I’m not looking for love. I’m just playing for time. 
Don’t go wasting your love. Don’t go wasting your time. 

You’re thinking. What you thinking? That thought is always on my mind. 
Believe me, believe me. I’m not man enough to make the bass line. 

Where’s the king of the croon? Where’s the prince of the rhyme?
Is he singing in tune and playing in time? 
I’m not getting the breaks, still no change in my luck. 
And I’m still on my own. I’m not looking for love. 

I’m not looking for love. I’m just playing for time. 
Don’t go wasting your love. Don’t go wasting your time. 

When the motive is fame the emotion is fear. 
I’ve been planning to ring the changes here. 
If we’re counting the cost make a mark on my slate. 
I’ve watching the form. I’ve been watching that space. 

I’m not looking for love.Oh no. I’m just playing for time. 
Don’t go wasting your sweet, sweet, sweet, sweet love. Don’t go wasting your time. 

I'm not looking for love. I'm just playing for time. 
Don't go wasting your love.."
track_1356468,
